brand,type,count,newbrand,newbrand2,newbrand3
Coolpad,6,1,Coolpad,COOLPAD,COOLPAD
OPPO,1100,61,OPPO,OPPO,OPPO
1100,1100,1,1100,NOKIA,NOKIA
OPPO,1105,37,OPPO,OPPO,OPPO
1105,1105,1,1105,NOKIA,NOKIA
OPPO,1107,197,OPPO,OPPO,OPPO
1107,1107,1,1107,NOKIA,NOKIA
OPPO,3000,22,OPPO,OPPO,OPPO
OPPO,3005,9,OPPO,OPPO,OPPO
OPPO,3007,88,OPPO,OPPO,OPPO
OPPO,6607,127,OPPO,OPPO,OPPO
Coolpad,7230,1,Coolpad,COOLPAD,COOLPAD
Coolpad,8085,3,Coolpad,COOLPAD,COOLPAD
Coolpad,8150,1,Coolpad,COOLPAD,COOLPAD
marvell,8150,1,marvell,MARVELL,其他
Coolpad,8190,3,Coolpad,COOLPAD,COOLPAD
Coolpad,8195,2,Coolpad,COOLPAD,COOLPAD
Coolpad,8295,9,Coolpad,COOLPAD,COOLPAD
ZOPO,8510,1,ZOPO,ZOPO,其他
Coolpad,8675,1,Coolpad,COOLPAD,COOLPAD
Coolpad,8720,16,Coolpad,COOLPAD,COOLPAD
Coolpad,8950,1,Coolpad,COOLPAD,COOLPAD
Xiaomi,2013022,289,Xiaomi,XIAOMI,XIAOMI
2013022,2013022,2,xiaomi,XIAOMI,XIAOMI
Xiaomi,2013023,218,Xiaomi,XIAOMI,XIAOMI
Xiaomi,2014011,388,Xiaomi,XIAOMI,XIAOMI
2014011,2014011,1,xiaomi,XIAOMI,XIAOMI
Xiaomi,2014112,51,Xiaomi,XIAOMI,XIAOMI
2014112,2014112,2,xiaomi,XIAOMI,XIAOMI
Xiaomi,2014501,736,Xiaomi,XIAOMI,XIAOMI
2014501,2014501,10,xiaomi,XIAOMI,XIAOMI
Xiaomi,2014811,891,Xiaomi,XIAOMI,XIAOMI
2014811,2014811,3,xiaomi,XIAOMI,XIAOMI
Xiaomi,2014812,57,Xiaomi,XIAOMI,XIAOMI
Xiaomi,2014813,451,Xiaomi,XIAOMI,XIAOMI
2014813,2014813,1,xiaomi,XIAOMI,XIAOMI
Xiaomi,2014816,1,Xiaomi,XIAOMI,XIAOMI
Xiaomi,2014821,10,Xiaomi,XIAOMI,XIAOMI
i%D0%A0hone+9s,(脑残粉),1,i%D0%A0hone+9s,I%D0%A0HONE+9S,其他
,.A31t.A31t,1,,,其他
100jia,100C,7,100jia,100JIA,其他
100jia,100Cw,7,100jia,100JIA,其他
100Cw,100Cw.100Cw.100Cw,1,100Cw,100CW,其他
1080P,1080P-N003,1,1080P,1080P,其他
1100,1100.1100.1100,2,1100,NOKIA,NOKIA
1105,1105.1105.1105,1,1105,NOKIA,NOKIA
1107,1107.1107.1107,10,1107,NOKIA,NOKIA
2013022,2013022.HM2013022.2013022,9,xiaomi,XIAOMI,XIAOMI
2013023,2013023.HM2013023.2013023,11,xiaomi,XIAOMI,XIAOMI
2014011,2014011.HM2014011.2014011,12,xiaomi,XIAOMI,XIAOMI
2014112,2014112.HM2014112.2014112,4,xiaomi,XIAOMI,XIAOMI
2014501,2014501.HM2014501.2014501,23,xiaomi,XIAOMI,XIAOMI
2014811,2014811.HM2014811.2014811,38,xiaomi,XIAOMI,XIAOMI
2014812,2014812.HM2014812.2014812,1,xiaomi,XIAOMI,XIAOMI
2014813,2014813.HM2014813.2014813,20,xiaomi,XIAOMI,XIAOMI
3000,3000.3000.3000,2,3000,OPPO,OPPO
3007,3007.3007.3007,8,3007,OPPO,OPPO
SG,305SH,9,SG,SG,其他
Sony,401SO,1,Sony,SONY,SONY
4G,4G,28,4G,4G,4G
4G%252B%252B,4G,1,4G%252B%252B,4G%252B%252B,其他
4G+,4G,1,4G+,4G+,其他
AML,4G,1,AML,AML,其他
GODONIE,4G,1,GODONIE,GODONIE,其他
K18,4G,1,K18,K18,其他
QZ,4G,1,QZ,QZ,其他
4G-plus,4G-plus,6,4G-plus,4G-PLUS,其他
6607,6607.6607.6607,14,6607,OPPO,OPPO
APPLE,6P,1,Apple,APPLE,APPLE
6plus,6plus,1,apple,APPLE,APPLE
4G,6S,3,4G,4G,4G
iPhone,6S,1,apple,APPLE,APPLE
iPhone,6s,1,apple,APPLE,APPLE
1Phone,6s Plus,1,1Phone,1PHONE,其他
6s plus,6s plus,1,apple,APPLE,APPLE
iPhone,6S Plus,1,apple,APPLE,APPLE
iPhone,6s plus,1,apple,APPLE,APPLE
iPhone,6s Plus(镶钻版),1,apple,APPLE,APPLE
motorola,6S Plus,1,motorola,MOTO,其他
Lenovo,6sPlus,1,lenovo,LENOVO,LENOVO
iPhone,7 Plus,1,apple,APPLE,APPLE
alps,712v82_bd_s008,1,alps,ALPS,ALPS
Coolpad,7230-B,2,Coolpad,COOLPAD,COOLPAD
GiONEE,7s,1,GiONEE,GIONEE,GIONEE
8085N,8085N.lc1810_8085N.full_lc1810,1,8085N,COOLPAD?,其他
Coolpad,8190Q,7,Coolpad,COOLPAD,COOLPAD
8295,8295.yulong89_td_jb.yulong89_td_jb,1,8295,COOLPAD?,其他
htc,831C,1,htc,HTC,HTC
OZZO,8801S,1,OZZO,OZZO,其他
HEYUF,9300-M9,2,HEYUF,HEYUF,其他
ONEPLUS,A0001,83,ONEPLUS,ONEPLUS,ONEPLUS
oneplus,A0001,3,ONEPLUS,ONEPLUS,ONEPLUS
A0001,A0001,1,A0001,ONEPLUS,ONEPLUS
A1,A1,2,A1,OPPO,OPPO
JTY,A10,4,JTY,JTY,其他
Changhong,A100,1,Changhong,CHANGHONG,CHANGHONG
ONEPLUS,A1001,17,ONEPLUS,ONEPLUS,ONEPLUS
A1001,A1001,1,A1001,ONEPLUS,ONEPLUS
A1001,A1001.A1001.A1001,1,A1001,ONEPLUS,ONEPLUS
OPPO,A11,145,OPPO,OPPO,OPPO
A11,A11,2,oppo,OPPO,OPPO
A11,A11.A11.A11,6,oppo,OPPO,OPPO
COLCH,A12,1,COLCH,COLCH,其他
ximei,A12.,1,ximei,XIMEI,其他
EBEN,A3,1,EBEN,EBEN,其他
E人E本,A3,1,E人E本,E人E本,其他
mizu,A300,1,mizu,MIZU,其他
OPPO,A31,427,OPPO,OPPO,OPPO
A31,A31,4,oppo,OPPO,OPPO
A31,A31.A31.A31,23,oppo,OPPO,OPPO
OPPO,A31c,64,OPPO,OPPO,OPPO
A31c,A31c,1,oppo,OPPO,OPPO
A31c,A31c.A31c.A31c,1,oppo,OPPO,OPPO
OPPO,A31t,122,OPPO,OPPO,OPPO
A31t,A31t,2,oppo,OPPO,OPPO
A31t,A31t.A31t.A31t,7,oppo,OPPO,OPPO
OPPO,A31u,208,OPPO,OPPO,OPPO
A31u,A31u,2,oppo,OPPO,OPPO
A31u,A31u.A31u.A31u,14,oppo,OPPO,OPPO
A368,A368,1,A368,LENOVO,LENOVO
A5-MI8,A5-MI8,1,A5-MI8,A5-MI8,其他
A6,A6,1,A6,OPPO,OPPO
JIAMEI,A6,1,JIAMEI,JIAMEI,其他
A6-Plus,A6-Plus,1,A6-Plus,OPPO,OPPO
A7,A-7,2,A7,OPPO,OPPO
AMPE,A77,2,AMPE,AMPE,其他
A906,A906,1,A906,TCL,TCL
AE G11,AE G11.aloes_A5021.aloes,1,AE G11,AE G11,其他
ALCATEL ONE TOUCH 5037X,ALCATEL ONE TOUCH 5037X.YarisL_GSM.ALCATEL_ONE_TOUCH_5037X,1,ALCATEL ONE TOUCH 5037X,ALCATEL ONE TOUCH 5037X,其他
TCT,ALCATEL one touch 986,1,TCT,TCT,TCT
AMER F4E,AMER F4E,1,AMER F4E,AMER F4E,其他
AMOI,AMOI A900T,1,AMOI,AMOI,其他
AMOI,AMOI A900W,3,AMOI,AMOI,其他
AMOI,AMOI A920T,1,AMOI,AMOI,其他
AMOI,AMOI A920W,1,AMOI,AMOI,其他
AMOI A920W,AMOI A920W.a920w.a920w,1,AMOI,AMOI,其他
AMOI,AMOI A928W,1,AMOI,AMOI,其他
AMOI,AMOI N808,1,AMOI,AMOI,其他
AMOI,AMOI N820,1,AMOI,AMOI,其他
